INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172040657,02629,Harassment,HARASSMENT,C11,397,,2015-06-15 00:00:00,2015,6,Monday,0,Part Two,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I182061268,03201,Property Lost,PROPERTY - LOST,, ,,2015-06-15 00:00:00,2015,6,Monday,0,Part Three,BERNARD,,,
I162013546,03201,Property Lost,PROPERTY - LOST,B3,433,,2015-06-15 00:00:00,2015,6,Monday,0,Part Three,NORFOLK ST,42.28363434,-71.0828132,"(42.28363434, -71.08281320)"
I152051083,03115,Investigate Person,INVESTIGATE PERSON,A7,20,,2015-06-15 00:00:00,2015,6,Monday,0,Part Three,PARIS ST,42.37702319,-71.0322473,"(42.37702319, -71.03224730)"
I152059178,02647,Other,THREATS TO DO BODILY HARM,C11,359,,2015-06-15 00:00:00,2015,6,Monday,0,Part Two,WASHINGTON ST,42.29360585,-71.0718865,"(42.29360585, -71.07188650)"
I152049897,03201,Property Lost,PROPERTY - LOST,B2,282,,2015-06-15 00:00:00,2015,6,Monday,0,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I152054279,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,456,,2015-06-15 00:00:00,2015,6,Monday,0,Part Two,HARLEM ST,42.30021684,-71.0809794,"(42.30021684, -71.08097940)"
I152051083,03130,Search Warrants,SEARCH WARRANT,A7,20,,2015-06-15 00:00:00,2015,6,Monday,0,Part Three,PARIS ST,42.37702319,-71.0322473,"(42.37702319, -71.03224730)"
I152067251,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,93,,2015-06-15 00:00:00,2015,6,Monday,0,Part Two,FANEUIL HALL SQ,42.36020464,-71.05620816,"(42.36020464, -71.05620816)"
I152049588,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,155,,2015-06-15 00:01:00,2015,6,Monday,0,Part One,CONCORD SQ,42.34138415,-71.07898883,"(42.34138415, -71.07898883)"
I152049593,01874,Drug Violation,DRUGS - OTHER,C11,289,,2015-06-15 00:01:00,2015,6,Monday,0,Part Two,HANCOCK ST,42.310434,-71.0613401,"(42.31043400, -71.06134010)"
I152049594,01874,Drug Violation,DRUGS - OTHER,C11,289,,2015-06-15 00:01:00,2015,6,Monday,0,Part Two,HANCOCK ST,42.310434,-71.0613401,"(42.31043400, -71.06134010)"
I152049463,01402,Vandalism,VANDALISM,E18,493,,2015-06-15 00:03:00,2015,6,Monday,0,Part Two,LEXINGTON AVE,42.26255067,-71.11582205,"(42.26255067, -71.11582205)"
